rank,candidate_id,technical_score,career_score,market_score,consistency_score,consistency_penalty,calibration_penalty,final_score,score_cap,reasoning,current_title,current_company,years_of_experience,skill_count,ai_skill_count,relevant_role_count,relevant_duration_months,career_ranking_evidence_count,career_retrieval_evidence_count,keyword_stuffer,ai_transition,consulting_only,consistency_points,consistency_reason_codes
1,CAND_0081846,0.985716,1.0,0.9544,0.9,0.1,0.0,0.974452,,"Positives: career evidence for ranking/relevance systems (ranking, ranker); career evidence for retrieval/search systems (bm25, retrieval); 2 relevant roles with 79 months of supporting experience",Lead AI Engineer,Razorpay,6.7,18,5,2,79.0,3,5,False,False,False,3.0,skills_current_role_mismatch; skills_headline_mismatch
2,CAND_0088025,0.967041,1.0,0.9402,1.0,0.0,0.0,0.973209,,"Positives: career evidence for ranking/relevance systems (ranking, ranker); career evidence for retrieval/search systems (retrieval); 3 relevant roles with 102 months of supporting experience | Concerns: longer notice period (90 days)",Staff Machine Learning Engineer,Yellow.ai,8.6,19,6,3,102.0,3,2,False,False,False,0.0,nan
3,CAND_0046525,0.972363,0.973957,0.947,1.0,0.0,0.0,0.970453,,"Positives: career evidence for ranking/relevance systems (ranker, ranking); career evidence for retrieval/search systems (bm25, retrieval); 2 relevant roles with 73 months of supporting experience",Senior Machine Learning Engineer,Genpact AI,6.1,17,5,2,73.0,4,2,False,False,False,0.0,nan
4,CAND_0010685,0.956585,1.0,0.9694,0.933333,0.066667,0.0,0.967676,,"Positives: career evidence for ranking/relevance systems (ranking, relevance); career evidence for retrieval/search systems (semantic search, elasticsearch); 3 relevant roles with 51 months of supporting experience",NLP Engineer,Rephrase.ai,6.7,16,4,3,51.0,4,4,False,False,False,2.0,previous_title_description_mismatch
5,CAND_0077337,0.978011,1.0,0.92094,0.9,0.1,0.0,0.964293,,"Positives: career evidence for ranking/relevance systems (ranker, ranking); career evidence for retrieval/search systems (semantic search, bm25); 4 relevant roles with 83 months of supporting experience",Staff Machine Learning Engineer,Paytm,7.0,20,2,4,83.0,3,3,False,False,False,3.0,skills_current_role_mismatch; skills_headline_mismatch
6,CAND_0039754,0.994784,1.0,0.9808,0.7,0.3,0.0,0.963813,,"Positives: career evidence for ranking/relevance systems (ranking, ranker); career evidence for retrieval/search systems (retrieval, bm25); 3 relevant roles with 98 months of supporting experience | Concerns: profile consistency concerns",Senior Applied Scientist,Meta,16.2,20,6,3,98.0,6,6,False,False,False,9.0,current_title_description_mismatch; previous_title_description_mismatch; skills_current_role_mismatch; skills_headline_mismatch; skills_career_history_mismatch
7,CAND_0050454,0.976619,1.0,0.863144,1.0,0.0,0.0,0.962107,,"Positives: career evidence for ranking/relevance systems (relevance, ranking); career evidence for retrieval/search systems (semantic search, elasticsearch); 3 relevant roles with 81 months of supporting experience",AI Engineer,Rephrase.ai,6.8,15,4,3,81.0,4,8,False,False,False,0.0,nan
8,CAND_0018499,0.996554,1.0,0.854512,0.9,0.1,0.0,0.959352,,"Positives: career evidence for ranking/relevance systems (ranking, ranker); career evidence for retrieval/search systems (bm25, retrieval); 3 relevant roles with 86 months of supporting experience",Senior Machine Learning Engineer,Zomato,7.2,17,4,3,86.0,7,4,False,False,False,3.0,graduation_after_employment_start
9,CAND_0091534,0.936603,1.0,0.9374,1.0,0.0,0.0,0.958951,,"Positives: career evidence for ranking/relevance systems (relevance, ranking); career evidence for retrieval/search systems (semantic search, elasticsearch); 3 relevant roles with 85 months of supporting experience",AI Engineer,Flipkart,16.6,10,2,3,85.0,3,4,False,False,False,0.0,nan
10,CAND_0046064,0.985724,1.0,0.9412,0.766667,0.233333,0.0,0.958482,,"Positives: career evidence for ranking/relevance systems (ranking, ranker); career evidence for retrieval/search systems (retrieval, bm25); 3 relevant roles with 106 months of supporting experience",Senior NLP Engineer,Salesforce,8.9,16,1,3,106.0,6,3,False,False,False,7.0,degree_order_reversal; skills_current_role_mismatch; skills_headline_mismatch
11,CAND_0044855,0.958148,1.0,0.8688,1.0,0.0,0.0,0.954927,,"Positives: career evidence for ranking/relevance systems (ranking, relevance); career evidence for retrieval/search systems (semantic search, elasticsearch); 3 relevant roles with 78 months of supporting experience",Senior Data Scientist,Flipkart,6.6,17,4,3,78.0,2,4,False,False,False,0.0,
12,CAND_0069905,0.979486,1.0,0.870768,0.9,0.1,0.0,0.954923,,"Positives: career evidence for ranking/relevance systems (relevance); career evidence for retrieval/search systems (semantic search, elasticsearch); 3 relevant roles with 78 months of supporting experience | Concerns: longer notice period (90 days)",Applied ML Engineer,Sarvam AI,6.6,17,4,3,78.0,2,8,False,False,False,3.0,previous_title_description_mismatch; skills_headline_mismatch
13,CAND_0039383,0.937059,1.0,0.891,1.0,0.0,0.0,0.949876,,"Positives: career evidence for ranking/relevance systems (ranking, relevance); career evidence for retrieval/search systems (semantic search, elasticsearch); 3 relevant roles with 84 months of supporting experience | Concerns: longer notice period (90 days)",Applied ML Engineer,Meesho,7.1,16,2,3,84.0,3,4,False,False,False,0.0,nan
14,CAND_0005260,0.964553,0.991689,0.8378,1.0,0.0,0.0,0.949531,,"Positives: career evidence for ranking/relevance systems (ranking, ranker); career evidence for retrieval/search systems (bm25, retrieval); 2 relevant roles with 61 months of supporting experience",Senior NLP Engineer,Netflix,5.2,18,6,2,61.0,4,2,False,False,False,0.0,nan
15,CAND_0093912,0.960771,1.0,0.9412,0.766667,0.233333,0.0,0.947254,,"Positives: career evidence for ranking/relevance systems (relevance, ranking); career evidence for retrieval/search systems (semantic search, elasticsearch); 3 relevant roles with 62 months of supporting experience",Senior Data Scientist,Razorpay,5.3,13,2,3,62.0,5,4,False,False,False,7.0,previous_title_description_mismatch; moderate_career_incoherence; skills_current_role_mismatch; skills_career_history_mismatch
16,CAND_0079387,0.947558,1.0,0.902371,0.9,0.1,0.0,0.946876,,"Positives: career evidence for ranking/relevance systems (ranking, relevance); career evidence for retrieval/search systems (semantic search, elasticsearch); 3 relevant roles with 63 months of supporting experience",AI Engineer,Microsoft,6.9,20,1,3,63.0,2,4,False,False,False,3.0,skills_current_role_mismatch; skills_headline_mismatch
17,CAND_0008425,0.961537,1.0,0.867,0.9,0.1,0.0,0.946092,,"Positives: career evidence for ranking/relevance systems (ranking); career evidence for retrieval/search systems (retrieval, semantic search); 3 relevant roles with 92 months of supporting experience | Concerns: longer notice period (90 days)",Senior NLP Engineer,Ola,7.8,17,3,3,92.0,3,4,False,False,False,3.0,skills_current_role_mismatch; skills_headline_mismatch
18,CAND_0055992,0.98546,1.0,0.9266,0.666667,0.333333,0.0,0.945444,,"Positives: career evidence for ranking/relevance systems (relevance, ranking); career evidence for retrieval/search systems (semantic search, elasticsearch); 4 relevant roles with 80 months of supporting experience | Concerns: profile consistency concerns",AI Engineer,CRED,16.9,16,5,4,80.0,4,4,False,False,False,10.0,previous_title_description_mismatch; degree_order_reversal; graduation_after_employment_start; skills_headline_mismatch
19,CAND_0001610,0.959306,1.0,0.8178,1.0,0.0,0.0,0.945248,,"Positives: career evidence for ranking/relevance systems (ranking, relevance); career evidence for retrieval/search systems (semantic search, elasticsearch); 3 relevant roles with 61 months of supporting experience | Concerns: longer notice period (90 days)",Machine Learning Engineer,Dream11,3.0,18,5,3,61.0,3,4,False,False,False,0.0,nan
20,CAND_0093547,0.925974,1.0,0.9246,0.9,0.1,0.0,0.941608,,Positives: career evidence for ranking/relevance systems (ranking); career evidence for retrieval/search systems (retrieval); 3 relevant roles with 74 months of supporting experience,Senior Machine Learning Engineer,PhonePe,2.9,21,4,3,74.0,3,1,False,False,False,3.0,graduation_after_employment_start
21,CAND_0055905,0.985199,1.0,0.8894,0.7,0.3,0.0,0.94122,,"Positives: career evidence for ranking/relevance systems (ranking, ranker); career evidence for retrieval/search systems (bm25, retrieval); 3 relevant roles with 96 months of supporting experience | Concerns: profile consistency concerns",Senior Machine Learning Engineer,Flipkart,8.1,13,4,3,96.0,4,5,False,False,False,9.0,previous_title_description_mismatch; degree_order_reversal; skills_current_role_mismatch; skills_headline_mismatch
22,CAND_0081686,0.953138,1.0,0.9432,0.733333,0.266667,0.0,0.940886,,"Positives: career evidence for ranking/relevance systems (ranking, relevance); career evidence for retrieval/search systems (semantic search, elasticsearch); 3 relevant roles with 71 months of supporting experience | Concerns: profile consistency concerns",Search Engineer,Netflix,6.0,18,3,3,71.0,4,4,False,False,False,8.0,current_title_description_mismatch; previous_title_description_mismatch; skills_current_role_mismatch; skills_career_history_mismatch
23,CAND_0030953,0.97257,1.0,0.8428,0.833333,0.166667,0.0,0.93955,,"Positives: career evidence for ranking/relevance systems (ranking, relevance); career evidence for retrieval/search systems (semantic search, elasticsearch); 5 relevant roles with 92 months of supporting experience",Search Engineer,Nykaa,7.8,14,4,5,92.0,4,4,False,False,False,5.0,current_title_description_mismatch; skills_current_role_mismatch
24,CAND_0086022,0.980492,1.0,0.840662,0.8,0.2,0.0,0.939354,,"Positives: career evidence for ranking/relevance systems (ranking, ranker); career evidence for retrieval/search systems (bm25, retrieval); 2 relevant roles with 63 months of supporting experience",Senior Applied Scientist,Sarvam AI,5.3,19,8,2,63.0,6,2,False,False,False,6.0,current_title_description_mismatch; skills_current_role_mismatch; skills_career_history_mismatch
25,CAND_0018722,0.952139,1.0,0.9034,0.8,0.2,0.0,0.939142,,"Positives: career evidence for ranking/relevance systems (relevance, ranking); career evidence for retrieval/search systems (semantic search, elasticsearch); 3 relevant roles with 78 months of supporting experience | Concerns: longer notice period (90 days)",Recommendation Systems Engineer,Saarthi.ai,6.6,14,1,3,78.0,5,4,False,False,False,6.0,current_title_description_mismatch; skills_current_role_mismatch; skills_headline_mismatch
26,CAND_0080766,0.940411,1.0,0.9268,0.8,0.2,0.0,0.938545,,"Positives: career evidence for ranking/relevance systems (relevance, ranking); career evidence for retrieval/search systems (semantic search, bm25); 4 relevant roles with 105 months of supporting experience",Staff Machine Learning Engineer,Salesforce,8.8,21,5,4,105.0,4,3,False,False,False,6.0,graduation_after_employment_start; skills_current_role_mismatch; skills_headline_mismatch
27,CAND_0062247,0.947776,1.0,0.8584,0.9,0.1,0.0,0.938179,,"Positives: career evidence for ranking/relevance systems (relevance, ranking); career evidence for retrieval/search systems (semantic search, elasticsearch); 2 relevant roles with 87 months of supporting experience",AI Engineer,Google,7.3,17,4,2,87.0,3,4,False,False,False,3.0,skills_current_role_mismatch; skills_headline_mismatch
28,CAND_0005649,0.962643,1.0,0.762022,1.0,0.0,0.0,0.935594,,"Positives: career evidence for ranking/relevance systems (relevance, ranking); career evidence for retrieval/search systems (semantic search, elasticsearch); 3 relevant roles with 46 months of supporting experience | Concerns: longer notice period (90 days)",Senior Data Scientist,Sarvam AI,7.4,17,4,3,46.0,2,4,False,False,False,0.0,
29,CAND_0044883,0.949348,1.0,0.8752,0.833333,0.166667,0.0,0.93558,,"Positives: career evidence for ranking/relevance systems (relevance, ranking); career evidence for retrieval/search systems (semantic search, elasticsearch); 3 relevant roles with 61 months of supporting experience | Concerns: longer notice period (90 days)",AI Engineer,Mad Street Den,6.3,15,6,3,61.0,2,4,False,False,False,5.0,previous_title_description_mismatch; previous_title_description_mismatch; skills_headline_mismatch
30,CAND_0083307,0.979555,1.0,0.821568,0.8,0.2,0.0,0.935113,,"Positives: career evidence for ranking/relevance systems (relevance, ranking); career evidence for retrieval/search systems (semantic search, elasticsearch); 4 relevant roles with 92 months of supporting experience | Concerns: longer notice period (120 days)",Search Engineer,CRED,7.8,18,3,4,92.0,5,4,False,False,False,6.0,current_title_description_mismatch; skills_current_role_mismatch; skills_headline_mismatch
31,CAND_0071974,0.9509,1.0,0.830364,0.9,0.1,0.0,0.933978,,Positives: career evidence for ranking/relevance systems (ranking); career evidence for retrieval/search systems (retrieval); 3 relevant roles with 92 months of supporting experience,Senior AI Engineer,Netflix,7.8,19,4,3,92.0,3,1,False,False,False,3.0,skills_current_role_mismatch; skills_headline_mismatch
32,CAND_0053695,0.949249,1.0,0.863,0.833333,0.166667,0.0,0.933096,,"Positives: career evidence for ranking/relevance systems (ranking, relevance); career evidence for retrieval/search systems (semantic search, elasticsearch); 3 relevant roles with 68 months of supporting experience",Recommendation Systems Engineer,Meesho,5.8,15,5,3,68.0,4,4,False,False,False,5.0,current_title_description_mismatch; skills_current_role_mismatch
33,CAND_0030827,0.955708,0.983569,0.7846,1.0,0.0,0.0,0.932881,,"Positives: career evidence for ranking/relevance systems (relevance, ranking); career evidence for retrieval/search systems (semantic search, elasticsearch); 2 relevant roles with 64 months of supporting experience | Concerns: longer notice period (120 days)",Senior Data Scientist,Freshworks,5.4,16,2,2,64.0,3,4,False,False,False,0.0,
34,CAND_0010770,0.982354,1.0,0.817006,0.766667,0.233333,0.0,0.932127,,"Positives: career evidence for ranking/relevance systems (relevance, ranking); career evidence for retrieval/search systems (semantic search, elasticsearch); 4 relevant roles with 86 months of supporting experience",Recommendation Systems Engineer,Aganitha,15.2,18,5,4,86.0,5,8,False,False,False,7.0,current_title_description_mismatch; moderate_career_incoherence; skills_current_role_mismatch
35,CAND_0036184,0.963311,0.922798,0.9376,0.8,0.2,0.0,0.931709,,"Positives: career evidence for ranking/relevance systems (relevance); career evidence for retrieval/search systems (semantic search, elasticsearch); 2 relevant roles with 71 months of supporting experience",Recommendation Systems Engineer,CRED,6.0,19,5,2,71.0,2,8,False,False,False,6.0,current_title_description_mismatch; skills_current_role_mismatch; skills_career_history_mismatch
36,CAND_0044222,0.902596,0.984644,0.8942,1.0,0.0,0.0,0.931169,,"Positives: career evidence for ranking/relevance systems (relevance, ranking); career evidence for retrieval/search systems (semantic search, elasticsearch); 2 relevant roles with 92 months of supporting experience",AI Engineer,PolicyBazaar,7.7,19,5,2,92.0,2,4,False,False,False,0.0,nan
37,CAND_0013613,0.899713,1.0,0.8786,1.0,0.0,0.0,0.930591,,"Positives: career evidence for ranking/relevance systems (ranking, relevance); career evidence for retrieval/search systems (semantic search, elasticsearch); 3 relevant roles with 55 months of supporting experience",Machine Learning Engineer,Adobe,4.7,14,4,3,55.0,3,4,False,False,False,0.0,nan
38,CAND_0041669,0.93772,1.0,0.9422,0.7,0.3,0.0,0.930414,,"Positives: career evidence for ranking/relevance systems (ranking, relevance); 3 relevant roles with 95 months of supporting experience; product/SaaS company experience | Concerns: profile consistency concerns",Recommendation Systems Engineer,CRED,8.0,20,2,3,95.0,3,0,False,False,False,9.0,current_title_description_mismatch; previous_title_description_mismatch; skills_current_role_mismatch; skills_headline_mismatch; skills_career_history_mismatch
39,CAND_0027801,0.955138,0.959219,0.8284,0.933333,0.066667,0.0,0.92863,,"Positives: career evidence for ranking/relevance systems (relevance); career evidence for retrieval/search systems (semantic search, elasticsearch); 2 relevant roles with 53 months of supporting experience | Concerns: longer notice period (120 days)",NLP Engineer,InMobi,7.4,15,3,2,53.0,2,8,False,False,False,2.0,previous_title_description_mismatch
40,CAND_0064326,0.937129,1.0,0.933768,0.7,0.3,0.0,0.928462,,"Positives: career evidence for ranking/relevance systems (ranking, relevance); 4 relevant roles with 91 months of supporting experience; product/SaaS company experience | Concerns: profile consistency concerns",Search Engineer,Sarvam AI,7.6,14,3,4,91.0,5,0,False,False,False,9.0,current_title_description_mismatch; graduation_after_employment_start; skills_current_role_mismatch; skills_headline_mismatch
41,CAND_0037980,0.937633,1.0,0.9264,0.7,0.3,0.0,0.927215,,"Positives: career evidence for ranking/relevance systems (ranking, relevance); 3 relevant roles with 107 months of supporting experience; product/SaaS company experience | Concerns: profile consistency concerns",Senior Applied Scientist,Niramai,9.0,21,3,3,107.0,6,0,False,False,False,9.0,current_title_description_mismatch; previous_title_description_mismatch; skills_current_role_mismatch; skills_headline_mismatch; skills_career_history_mismatch
42,CAND_0087630,0.909659,0.980913,0.863,1.0,0.0,0.0,0.927175,,Positives: career evidence for ranking/relevance systems (ranking); 3 relevant roles with 85 months of supporting experience; strong recruiter engagement and availability signals,AI Engineer,Vedantu,7.2,18,4,3,85.0,3,0,False,False,False,0.0,nan
43,CAND_0057563,0.962025,1.0,0.867897,0.7,0.3,0.0,0.926491,,"Positives: career evidence for ranking/relevance systems (ranking, relevance); career evidence for retrieval/search systems (semantic search, elasticsearch); 3 relevant roles with 80 months of supporting experience | Concerns: profile consistency concerns",NLP Engineer,Locobuzz,6.8,14,3,3,80.0,4,4,False,False,False,9.0,previous_title_description_mismatch; degree_order_reversal; graduation_after_employment_start
44,CAND_0029367,0.972486,1.0,0.686396,1.0,0.0,0.0,0.924898,,"Positives: career evidence for ranking/relevance systems (relevance); career evidence for retrieval/search systems (semantic search, elasticsearch); 3 relevant roles with 67 months of supporting experience | Concerns: longer notice period (90 days)",Senior Data Scientist,Rephrase.ai,5.7,17,6,3,67.0,2,8,False,False,False,0.0,
45,CAND_0060054,0.923252,1.0,0.830038,0.933333,0.066667,0.0,0.924804,,"Positives: career evidence for ranking/relevance systems (ranking, relevance); career evidence for retrieval/search systems (semantic search, elasticsearch); 3 relevant roles with 76 months of supporting experience",AI Engineer,Mad Street Den,6.4,10,1,3,76.0,3,4,False,False,False,2.0,previous_title_description_mismatch
46,CAND_0076904,0.950005,0.929797,0.8196,1.0,0.0,0.0,0.923871,,"Positives: career evidence for ranking/relevance systems (relevance, ranking); career evidence for retrieval/search systems (semantic search, elasticsearch); 2 relevant roles with 49 months of supporting experience | Concerns: longer notice period (90 days)",Senior Data Scientist,Nykaa,4.2,18,5,2,49.0,3,4,False,False,False,0.0,
47,CAND_0075249,0.950667,0.977706,0.8052,0.9,0.1,0.0,0.923267,,"Positives: career evidence for ranking/relevance systems (ranking, relevance); career evidence for retrieval/search systems (semantic search, elasticsearch); 2 relevant roles with 74 months of supporting experience",Applied ML Engineer,Zomato,6.2,14,2,2,74.0,2,4,False,False,False,3.0,previous_title_description_mismatch; skills_headline_mismatch
48,CAND_0007412,0.929231,1.0,0.8908,0.766667,0.233333,0.0,0.922981,,"Positives: career evidence for ranking/relevance systems (ranking, relevance); 5 relevant roles with 87 months of supporting experience; product/SaaS company experience | Concerns: longer notice period (120 days)",Applied ML Engineer,Zoho,7.4,12,2,5,87.0,3,0,False,False,False,7.0,previous_title_description_mismatch; previous_title_description_mismatch; skills_current_role_mismatch; skills_headline_mismatch
49,CAND_0040887,0.913802,0.883515,0.9656,0.966667,0.033333,0.0,0.921876,,"Positives: career evidence for ranking/relevance systems (relevance); career evidence for retrieval/search systems (semantic search, elasticsearch); 2 relevant roles with 55 months of supporting experience",Machine Learning Engineer,Netflix,4.7,12,3,2,55.0,1,4,False,False,False,1.0,skills_headline_mismatch
